tech,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01
JavaScript,13267,555646,575725,593837,579229,585723,601045,588147,565929,575536,563292,560358,562586,564943,808478,814967,790450,797736,603176,613183,623035,554965,578009,585804,599705,602510
JSON,5765,290264,292041,309207,313368,322779,323540,339247,356610,357507,355201,348213,356819,352757,363857,406365,419520,367647,387783,383896,415099,405572,404316,438187,442056,454431
Markdown,403,9484,9669,9673,9723,9700,9664,9672,9951,10187,10495,10645,10742,11123,11300,11323,11539,11741,11329,11474,11626,11828,14071,14139,14102,14134
YAML,48,2945,3114,2015,2236,2308,2471,2567,3104,3187,3297,3400,3581,3623,3879,4109,4772,4701,5158,5546,5690,6307,6422,6307,7072,7460
make,28,603,596,548,576,506,534,565,565,536,537,565,590,590,589,606,696,657,653,713,712,726,699,712,755,753
Pug,21,47,48,49,49,85,85,89,189,189,187,187,187,188,188,191,209,185,185,185,185,185,185,86,86,84
Bourne Shell,5,217,224,254,254,204,213,213,213,213,212,233,277,277,319,292,268,268,251,266,278,280,325,325,581,576
LESS,,17803,17587,17834,18193,18180,18121,18298,18251,18214,18239,18239,18455,18485,18612,19489,19189,19204,16097,15543,15543,15532,15526,15441,15570,15451
PHP,,66745,66666,66401,64620,64638,63754,55220,54457,54453,54119,53922,53868,53871,53871,53660,53660,53660,,,,,,,,
HTML,,52571,53748,54434,52618,53832,53279,52433,54162,54842,52980,51494,49592,50117,50159,50254,50915,50987,47988,48331,48387,48376,48554,48585,48349,48395
CSS,,33233,35876,35542,35173,38699,38808,38926,40687,40785,41022,41396,41410,41450,41476,41523,40270,40302,45158,50374,50413,50415,50431,50443,50528,50532
Svelte,,15894,17718,20244,21740,22673,23049,26424,28708,30794,34207,35200,36049,36457,38798,40479,41442,41504,43971,47161,49268,56834,57044,58178,61700,64357
SVG,,11289,11380,12609,13346,13353,13353,13365,13366,13368,13379,13379,13379,13390,13395,13395,13396,13412,13376,13378,13382,13384,13387,13403,13497,13328
CSV,,7713,7787,7933,8033,8063,8873,8924,10456,10464,10466,10451,10552,37023,37023,37023,37023,37023,37023,37023,37023,37023,37023,37025,38122,38143
Twig,,6114,5907,5912,5319,5361,4974,2387,2387,2391,2368,1894,1787,1764,1764,1308,1308,1308,,,,,,,,
Text,,3383,3383,3383,3383,3383,3383,10097,10097,10115,10115,10115,10115,10115,10115,10115,10115,10115,10102,10102,10102,10907,10907,10890,8639,8639
SQL,,3172,3173,3198,1632,1733,1768,1768,1793,1837,1803,1851,1851,1871,1929,1929,2530,2676,2309,2324,2328,2328,2323,2326,2326,2394
XML,,759,759,759,759,759,767,767,767,767,767,767,767,767,767,767,770,771,415,415,415,415,416,456,460,460
Bourne Again Shell,,721,721,725,720,741,741,746,866,1024,1127,1245,1245,1249,1288,1194,1405,1445,1566,1586,1600,1674,1685,1798,1591,1640
Python,,602,602,602,602,602,602,602,602,624,624,624,624,624,624,530,530,530,90,90,90,90,90,90,90,90
SCSS,,404,471,221,289,289,289,348,359,420,535,538,547,547,565,575,575,575,879,897,894,912,909,931,941,941
CoffeeScript,,183,183,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,,,,,,,,
Dockerfile,,180,180,138,138,142,148,149,158,159,159,159,204,204,213,223,247,255,228,229,231,232,232,240,240,242
EJS,,115,162,162,161,161,154,154,189,252,258,275,280,280,258,258,259,259,261,261,261,271,232,232,232,232
ASP.NET,,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,,,,,,,
INI,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Handlebars,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Ruby,,,,,,,,,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157
TypeScript,,,,,,,,,,,,,270,270,4361,7747,14438,17268,18355,22105,23382,25675,28523,32512,38413,40354
